
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
1129,Booka Shade,minimal,electronica,techno,electro,idm,electronic,ambient,german,thick as fuck,house
1130,Fightstar,post-hardcore,rock,alternative rock,aana,alternative,alternative metal,ambient,descoperiri,emo,i love this song
1131,Meshuggah,progressive metal,technical metal,death metal,math metal,mathcore,metal,ambient,chugga chugga chugga,djent,experimental
1132,Jane Air,alternative,emo,emocore,russian alternative,seen live,alternative rock,nu metal,nu-metal,russia,russian
1133,Gojira,death metal,progressive death metal,metal,progressive,progressive metal,thrash metal,ambient,chillout,deathcore,french
1134,Etta James,soul,female vocalists,jazz,american,70s,mellow,usa,urban,singer-songwriter,sexy
1135,Michael Bublé,jazz,swing,pop,canadian,classical,male vocalists,mellow,chillout,cover,easy listening
1136,50 Cent,rap,hip-hop,hip hop,gangsta rap,50 cent,dance,rnb,american,g-unit,party
1137,Heart,rock,80s,classic rock,female vocalists,hard rock,70s,female,female vocalist,love songs,pop
1138,Chevelle,alternative rock,rock,alternative,hard rock,alternative metal,post-grunge,acoustic,awesome,better than metallica,emo
1139,Attack Attack!,post-hardcore,electronic,trancecore,crabcore,screamo,acoustic,electronica,hardcore,instrumental,metalcore
1140,Aaliyah,rnb,hip-hop,soul,female vocalists,sexy,pop,dance,90s,urban,american
1141,Bone Thugs-N-Harmony,hip-hop,classic,cool,00s,sweet,smooth,sick,rnb,rhythmalizm,rhymez
1142,Too $hort,bay area,chillout,smooth,rhythmalizm,rhymez,rap,old skool,not rnb,lol,jazzy
1143,Snoop Dogg,hip-hop,rap,hip hop,00s,classic,seen live,nice,usa,tight,the truth
1144,Ice Cube,hip-hop,rap,gangsta rap,hiphop,west coast,smooth,rhythmalizm,rhymez,nice beat,mean
1145,Dr. Dre,hip-hop,rap,90s,gangsta rap,hip hop,dr. dre,eclectic dance party favorites,top 40,tight,sexy
1146,N.W.A,gangsta rap,rap,hip-hop,hip hop,old school hip hop,old school,ice cube,hip hop/rap,american,black music 4 black ppl listened 2 by white hipsters
1147,Mobb Deep,hip hop,rap,hip-hop,east coast rap,new york,gangsta,gangsta rap,catchy,queens,phat
1148,Warren G,best,chillout,classic,cool,funkalistic,funny,g,leftovergrooves,lol,rap
1149,Big Moves,dance rock,female vocalist,female vocalists,genius,indie,indie jazz dance math rock,jazz,jazz core,jazz rock,jazzcore
1150,Simon & Garfunkel,folk,classic rock,60s,singer-songwriter,rock,oldies,acoustic,70s,live,folk rock
1151,Death from Above 1979,alternative,indie rock,indie,rock,canadian,dj gold,electronic,house,smash it up,songs for gil
1152,Feist,indie,female vocalists,singer-songwriter,indie pop,folk,mellow,canadian,pop,acoustic,indie rock
1153,Deerhoof,noise,experimental,90s,indie,noise rock,alternative,seen live,avant-garde,friends,female vocalists
1154,The American Analog Set,slowcore,alternative,experimental,indie pop,indietronica,lo-fi,mellow,post-rock,shoegaze,space rock
1155,Stereolab,electronic,electronica,indie,barkbarkdisco,bliss,check,french,noise pop,pop,seen live
1156,Sezen Aksu,1980,atilla ozdemiroglu,turkish,perdesiz gitar,onno tunc,instrumental,baha boduroglu,aysel gurel,arto tuncboyaciyan,1981
1157,Ezginin Günlüğü,turkish,1988,1990,1995,erkan ogur,ezginin gunlugu,folk,oludeniz,ozgun,perdesiz gitar
1158,Ajda Pekkan,1990,1993,ajda forever,aysel gurel,diva,female vocalists,gay,pop,seen live,style icon
1159,Hande Yener,albm,apayri,electronic,euro,female vocalists,hande,kibir,ladytronica,pop,turkish
1160,Zerrin Özer,1984,1986,1987,1988,1990,1992,1996,arabesk,atilla ozdemiroglu,aysel gurel
1161,Goran Bregović,addictive,aman tanrim,balkan,bi daha dinlicem,chef musinum,ethnic,experimental,folk,gypsy punk,lostfreeq
1162,Marissa Nadler,female vocalists,folk,singer-songwriter,acoustic guitar,atmospheric,beautiful,dreamy,ethereal,freak folk,goddesses
1163,Twisted Sister,hard rock,80s,heavy metal,hair metal,classic rock,glam metal,rock,1984,christmas,cover
1164,Dio,heavy metal,hard rock,classic rock,metal,80s,god,power metal,1008,rip,teddy cook
1165,KISS,hard rock,rock,classic rock,80s,70s,heavy metal,glam rock,hair metal,seen live,usa
1166,Aerosmith,hard rock,classic rock,rock,80s,70s,90s,american,soundtrack,alternative,classic
1167,Van Halen,hard rock,80s,rock,classic rock,heavy metal,hair metal,glam metal,great hard rock band of 80s,guitar,guitar solo
1168,Buckcherry,hard rock,rock,alternative,1999,2001,2008,90s,alternative rock,rock and roll,rock n roll
1169,Joan Jett,rock,female vocalists,punk,80s,best songs of the 80s,classic rock,cover,covers,hard rock,oldies
1170,Creed,alternative rock,grunge,alternative,rock,hard rock,post-grunge,90s,creed,favorite,good bands
1171,Airbourne,hard rock,heavy metal,rock,00s,australian,classic rock,cool,hard,heavy,metal
1172,Monster Magnet,stoner rock,hard rock,rock,alternative rock,heavy metal,new jersey,psychedelic rock,road trip,scifi,space rock
1173,The Hellacopters,hard rock,rock,garage rock,rock n roll,swedish,backstage rock shop artist,hard,high energy rock n roll,indie rock,scandinavian action rock
1174,Type O Negative,gothic metal,metal,gothic,doom metal,colors,depressed mode,doom,good stuff,gothic rock,halloween
1175,Amorphis,melodic death metal,death metal,doom metal,progressive metal,metal,finnish metal,bazarov,powerful,progressive rock,progressive
1176,Backyard Babies,hard rock,punk rock,swedish,rock,rock n roll,90s,backstage rock shop artist,glam rock,punk,punk n roll
1177,Primus,experimental,alternative rock,alternative,kick ass,songs for sssi,songs for gil,slow build,rock,progressive rock,primus
1178,Trivium,metalcore,thrash metal,heavy metal,metal,hardcore,hard rock,seen live,thrash,trash metal,trivium
1179,Amatory,metalcore,alternative,nu metal,russian alternative,seen live,alternative rock,emo,emofuck,female vocalists,metal
1180,Mónica Naranjo,pop,spanish,dance,alternative,best free stuff,buenisisimisima,favourite,female,female vocalists,gothic
1181,Alejandra Guzmán,female vocalists,pop,mexico,90s,seen live,romantica,rock en espanol,rock,puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,latino
1182,LeToya,rnb,female vocalists,pop,soul,amazing,ballad,female vocalist,hip-hop,jet set radio future,letoya
1183,Chayanne,latin,latin pop,spanish,80s,ballad,good old times,great memories with my siss,great moments at et7,male,pop
1184,Final Fantasy,indie,violin,best song ever,canadian,epic,experimental,favorite song,indie pop,seen live,sex
1185,Xiu Xiu,experimental,indie,indie rock,post-rock,american,avant-garde,electronic,favorites,for work,heartbroke
1186,TV on the Radio,indie,indie rock,avant-garde,seen live,experimental,alternative,party,trip-hop,skins season 3,rock
1187,Stars,indie,canadian,indie pop,favorites,alternative,perfect lyrics,songs to download later,songs of love and madness,songs ive obsessed over,s
1188,Destroyer,indie,indie rock,canadian,alternative,chamber pop,dream pop,indie luv,mactonight fav,reverb,singer-songwriter
1189,Built to Spill,alternative,indie pop,lo-fi,90s,alternative rock,amazing,indie,indie rock,shoegaze,songs for gil
1190,The Fiery Furnaces,all the best,best songs of the 00s,cigarettes,experimental rock,favorites,indie,indie pop,indie rock,rock,seen live
1191,Billie Holiday,jazz,blues,female vocalists,chillout,american,oldies,voodoo women,trip-hop,trip hop,rain
1192,The New Pornographers,indie,canadian,alternative,indie pop,indie rock,00s,post-punk,songs to download later,songs ive obsessed over,songs for gil
1193,Copeland,alternative,indie,alternative rock,check out later,epically romantic,fossa,i love this song,indie luv,remember him,seth cohen would listen to this
1194,Teddy Geiger,pop,acoustic,acoustic rock,alternative,alternative rock,best of 2006,boy with guitar,guitar,inlove,male vocalist
1195,From First to Last,screamo,post-hardcore,emo,best bands,emocore,ienfe,love,makes me wanna dance,makes me wanna punch people for fun,makes me wanna punch someone
1196,Porcelain and the Tramps,female vocalists,alternative,electronic,industrial,<3,fucking amazing,porcelain and the tramps,loved tracks,lets dance,industrial rock
1197,Aloha From Hell,female vocalists,rock,german,pop rock,emo,alternative,indie rock,pop,me likey,love at first listen
1198,Keith Urban,country,4m4zinq,90s,australian,chill zone,favorite country music male,male vocalists,memories,miserable,modern country
1199,Martina McBride,country,female vocalists,90s,beautiful,cheesy pop,chill zone,classic country,country ladies,favorite country music female,female vocalist
1200,Rascal Flatts,country,rock,pop,soundtrack,4m4zinq,christmas blend,classic country,country pop,fav tracks,favorite country music group
1201,Juanes,latin,pop,spanish,rock,caaamiiiliiitaaa,catchy,good old times,guys i would fuck,latin pop,listened more than 10 times in a row
1202,Celtic Woman,female vocalists,folk,new age,celtic,christmas,goddesses,instrumental,irish,mairead nesbitt,world
1203,Garth Brooks,country,90s,duets,1995,favorite country music male,singer-songwriter,sad,rain,my favorite,love songs
1204,Billy Joel,singer-songwriter,classic rock,american,rock,pop,80s,70s,90s,soft rock,male vocalists
1205,Trace Adkins,beautiful,chill zone,classic country,country,country rock,easy listening,great song,love songs,memories,miserable
1206,Howard Shore,soundtrack,instrumental,classical,chef musinum,composer,composers,experimental,jean marc toma,lostfreeq,new beat
1207,Phil Vassar,country,00s,chill zone,christmas blend,classic country,great song,memories,miserable,my favorite,summer
1208,Brooks & Dunn,country,modern country,90s,indie,southern country rock,sad,pop rock,memories,male country,love songs
1209,Tim McGraw,country,90s,2009,easy listening,favorite country music male,memories,miserable,new country,rain,sad
1210,Faith Hill,country,90s,1999,bright and lovely,christmas blend,country ladies,favorite country music female,female,female vocalists,loved
1211,Toby Keith,beautiful,chill zone,soundtrack,sexy,sad,new country,modern country,miserable,memories,love songs
1212,Dierks Bentley,country,beautiful,bluegrass,classic country,country pop,country rock,great song,male vocalists,my favorite,neotraditional country
1213,Lonestar,country,90s,love songs,4m4zinq,beautiful,classic country,drinking,favorite country music group,favorites,great song
1214,Nat King Cole,jazz,swing,oldies,blues,1940s,classic jazz,valentines day,summer,songs diana sang on x factor,pop
1215,Glenn Miller,jazz,instrumental,40s,1940s,30s,approved by goku,approved by prince vegeta,happy,morning,novelty
1216,João Gilberto,bossa nova,brazilian,jazz,aana,brasil,brazil,brazilian jazz,love it,mpb,world
1217,Reik,spanish,latin pop,latin,pop,chill zone,puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,songs to make florchuchizz cry,songs i sing with my mom,seen live,romantic
1218,Boston,classic rock,hard rock,80s,70s,rock,progressive rock,american,old,soft rock,rolling stones top 500
1219,George Strait,country,80s,american,classic country,1988,guilty pleasures,so sweet,sad,my favorite,memories
1220,Alan Jackson,country,90s,great song,sad,new country,my favorite,miserable,memories,love songs,funny
1221,Peter Gabriel,progressive rock,rock,80s,pop,singer-songwriter,british,classic rock,1980s,progressive pop,rain
1222,Throbbing Gristle,experimental,industrial,avant garde,ohm sweet ohm,throbbing gristle,the beowulfs choice,scholes song,post-industrial,polotenchik poet,po-kraftwerkski
1223,Foetus,experimental,industrial,alternative,atmospheric,central point,chef musinum,electro industrial,electronic,fucking selfdeep,independent
1224,Fantômas,experimental,avant-garde,alternative,metal,mike patton,alternative metal,bazarov,deconstruction,microsound,noise
1225,Captain Beefheart & His Magic Band,experimental,rock,blues,psychedelic,avant-garde,60s,1969,my angular favourites,title is a full sentence,songs for sssi
1226,Danny Elfman,instrumental,soundtrack,halloween,composer,the best classical opera and film scores,prejebeno,new beat,movie score composers,lovely,80s
1227,Suicide,post-punk,punk,electronic,american punk,experimental,myfavoritesongs,new york punk,no wave,noise,sexy and energetic
1228,Psychic TV,industrial,experimental,psychedelic,80s,90s,avant garde,electronic,electronica,england,post-punk
1229,Happy Mondays,alternative,madchester,new wave,90s,baggy,british,britpop,dance,days,first-rate and free
1230,Public Image Ltd.,post-punk,80s,alternative,new wave,9100,alternative dance,choon,college rock,experimental,hit
1231,The Specials,ska,80s,british,two-tone,reggae,punk,ska revival,new wave,1981,two tone
1232,Mr. Bungle,experimental,avant-garde,alternative,rock,my angular favourites,songs for sssi,rock hard,orgasmo,olimpo dei migliori,lolcore
1233,Basshunter,dance,electronic,techno,trance,club,electronica,eurodance,bass,eletronica,hooooooooot
1234,Scooter,dance,trance,electronic,techno,2008,cool,dance - trance,electronica,german,rave
1235,Eric Prydz,dance,house,trance,beats,dance - trance,electronic,favorite songs,omfg,progressive house,techno
1236,Robyn,pop,electronic,dance,female vocalists,swedish,sexy,electropop,2008,female vocalist,robyn
1237,Shaggy,hip-hop,reggae,00s,1997,f,jamaica,jamaican,pirate punk,pop,rnb
1238,Spice Girls,pop,90s,british,dance,female vocalists,guilty pleasures,seen live,disco,female vocalist,90's
1239,Mando Diao,indie rock,indie,rock,swedish,alternative,garage rock,alternative rock,acoustic,best indie ever,dance
1240,Kid Rock,rock,alternative rock,american,hard rock,2000,90s,alternative,duet,favorite,hip-hop
1241,Sunrise Avenue,pop rock,rock,alternative,finnish,pop,00s,2006,2008,alternative rock,finland
1242,Morrissey,british,alternative,indie,80s,rock,seen live,post-punk,90s,uk,singer-songwriter
1243,Super Furry Animals,britpop,indie,indie rock,rock,alternative,alternative rock,experimental,pop,psicodelia,psychedelic
1244,The Drums,indie,indie rock,pop,indie pop,post-punk,alternative,alternative rock,best song ever,remix,surf rock
1245,LCD Soundsystem,electronic,indie,dance,alternative,seen live,electro,rock,sad,electronica,seth cohen would listen to this
1246,Graham Coxon,lo-fi,alternative,britpop,singer-songwriter,90s,british,britpop 90s generation,experimental,heartbroke,indie
1247,The Pains of Being Pure at Heart,indie pop,shoegaze,noise pop,dream pop,off,twee pop,twee,seen live,rock,pop
1248,My Bloody Valentine,shoegaze,dream pop,alternative,indie,indie rock,favorites,lastfm hipster artists,seen live,rock,post-rock
1249,Lolene,female vocalists,pop,electronic,dance,lady gaga,rich,neon,music,lionheart,britney spears
1250,KT Tunstall,female vocalists,singer-songwriter,indie,pop,alternative,indie rock,folk,female vocalist,female,00s
1251,Vanessa Carlton,female vocalists,pop,singer-songwriter,female vocalist,pop rock,amazing,piano rock,soft rock,romantic,rock
1252,Wanessa,pop,female vocalists,dance,female vocal,electro pop,house,club,pop music,brazilian,remix
1253,Culture Club,80s,new wave,british,pop,synthpop,dance,1982,miserable,synth pop,stylish
1254,Hall & Oates,80s,pop,classic rock,rock,soft rock,american,mellow,guilty pleasures,soul,remix
1255,The Power Station,80s,rock,duran duran,new wave,pop,favourites,supergroup,scholes song,pop rock,sex
1256,Toto,rock,classic rock,80s,70s,american,progressive rock,piano,soft rock,random songs,progressive
1257,Kajagoogoo,new wave,80s,british,new romantic,80s pop,synthpop,synth pop,nick beggs,new wave and eighties,new wave artists
